Ethnicity,Age_Range,F,M,Year
BAN,0-4,4514,4710,2012
BAN,10-14,4161,4283,2012
BAN,15-19,3599,3795,2012
BAN,20-24,3857,3936,2012
BAN,25-29,4578,4120,2012
BAN,30-34,4302,4014,2012
BAN,35-39,3189,3680,2012
BAN,40-44,2027,2764,2012
BAN,45-49,1307,1733,2012
BAN,5-9,4670,4729,2012
BAN,50-54,980,1427,2012
BAN,55-59,1014,862,2012
BAN,60-64,785,264,2012
BAN,65-69,524,241,2012
BAN,70-74,623,541,2012
BAN,75-79,377,515,2012
BAN,80-84,178,289,2012
BAN,85+,78,88,2012
BLA,0-4,469,488,2012
BLA,10-14,339,341,2012
BLA,15-19,284,332,2012
BLA,20-24,464,397,2012
BLA,25-29,582,470,2012
BLA,30-34,572,500,2012
BLA,35-39,469,433,2012
BLA,40-44,418,346,2012
BLA,45-49,321,292,2012
BLA,5-9,388,404,2012
BLA,50-54,212,209,2012
BLA,55-59,144,135,2012
BLA,60-64,116,87,2012
BLA,65-69,72,55,2012
BLA,70-74,62,55,2012
BLA,75-79,39,41,2012
BLA,80-84,29,28,2012
BLA,85+,21,22,2012
BLC,0-4,150,163,2012
BLC,10-14,102,118,2012
BLC,15-19,145,132,2012
BLC,20-24,224,196,2012
BLC,25-29,280,226,2012
BLC,30-34,236,201,2012
BLC,35-39,175,166,2012
BLC,40-44,250,227,2012
BLC,45-49,284,248,2012
BLC,5-9,146,120,2012
BLC,50-54,235,206,2012
BLC,55-59,168,144,2012
BLC,60-64,97,79,2012
BLC,65-69,88,53,2012
BLC,70-74,101,99,2012
BLC,75-79,97,79,2012
BLC,80-84,59,50,2012
BLC,85+,40,28,2012
CHI,0-4,196,228,2012
CHI,10-14,49,47,2012
CHI,15-19,104,94,2012
CHI,20-24,842,649,2012
CHI,25-29,1200,1025,2012
CHI,30-34,865,740,2012
CHI,35-39,370,347,2012
CHI,40-44,207,170,2012
CHI,45-49,127,92,2012
CHI,5-9,69,69,2012
CHI,50-54,100,88,2012
CHI,55-59,101,79,2012
CHI,60-64,70,56,2012
CHI,65-69,41,39,2012
CHI,70-74,35,30,2012
CHI,75-79,16,29,2012
CHI,80-84,12,13,2012
CHI,85+,15,12,2012
IND,0-4,260,239,2012
IND,10-14,50,57,2012
IND,15-19,71,63,2012
IND,20-24,389,407,2012
IND,25-29,793,909,2012
IND,30-34,701,961,2012
IND,35-39,326,484,2012
IND,40-44,144,185,2012
IND,45-49,94,101,2012
IND,5-9,98,100,2012
IND,50-54,71,86,2012
IND,55-59,58,61,2012
IND,60-64,33,33,2012
IND,65-69,23,24,2012
IND,70-74,20,28,2012
IND,75-79,18,17,2012
IND,80-84,12,13,2012
IND,85+,7,2,2012
MIX,0-4,821,873,2012
MIX,10-14,368,394,2012
MIX,15-19,333,365,2012
MIX,20-24,687,522,2012
MIX,25-29,861,716,2012
MIX,30-34,577,575,2012
MIX,35-39,302,329,2012
MIX,40-44,221,254,2012
MIX,45-49,155,205,2012
MIX,5-9,611,635,2012
MIX,50-54,121,130,2012
MIX,55-59,85,82,2012
MIX,60-64,55,45,2012
MIX,65-69,28,33,2012
MIX,70-74,30,23,2012
MIX,75-79,22,22,2012
MIX,80-84,16,12,2012
MIX,85+,13,9,2012
OAS,0-4,193,210,2012
OAS,10-14,87,97,2012
OAS,15-19,130,139,2012
OAS,20-24,390,356,2012
OAS,25-29,569,453,2012
OAS,30-34,569,395,2012
OAS,35-39,399,340,2012
OAS,40-44,240,153,2012
OAS,45-49,133,91,2012
OAS,5-9,159,131,2012
OAS,50-54,111,68,2012
OAS,55-59,84,62,2012
OAS,60-64,70,44,2012
OAS,65-69,43,31,2012
OAS,70-74,32,8,2012
OAS,75-79,18,13,2012
OAS,80-84,12,11,2012
OAS,85+,5,8,2012
OBL,0-4,274,292,2012
OBL,10-14,193,191,2012
OBL,15-19,137,148,2012
OBL,20-24,118,147,2012
OBL,25-29,183,126,2012
OBL,30-34,173,130,2012
OBL,35-39,144,122,2012
OBL,40-44,127,137,2012
OBL,45-49,137,129,2012
OBL,5-9,220,253,2012
OBL,50-54,70,82,2012
OBL,55-59,40,40,2012
OBL,60-64,36,21,2012
OBL,65-69,37,18,2012
OBL,70-74,25,17,2012
OBL,75-79,18,18,2012
