Age_Range,Ethnicity,F,M,MSOA,Year
0-4,BAN,119.0,125.0,E02000864,2012
10-14,BAN,112.0,100.0,E02000864,2012
15-19,BAN,79.0,86.0,E02000864,2012
20-24,BAN,77.0,67.0,E02000864,2012
25-29,BAN,86.0,68.0,E02000864,2012
30-34,BAN,111.0,92.0,E02000864,2012
35-39,BAN,81.0,79.0,E02000864,2012
40-44,BAN,54.0,60.0,E02000864,2012
45-49,BAN,25.0,44.0,E02000864,2012
5-9,BAN,122.0,119.0,E02000864,2012
50-54,BAN,12.0,28.0,E02000864,2012
55-59,BAN,11.0,7.0,E02000864,2012
60-64,BAN,13.0,2.0,E02000864,2012
65-69,BAN,8.0,2.0,E02000864,2012
70-74,BAN,12.0,6.0,E02000864,2012
75-79,BAN,3.0,9.0,E02000864,2012
80-84,BAN,1.0,3.0,E02000864,2012
85+,BAN,,1.0,E02000864,2012
0-4,BLA,15.0,17.0,E02000864,2012
10-14,BLA,19.0,19.0,E02000864,2012
15-19,BLA,14.0,15.0,E02000864,2012
20-24,BLA,16.0,23.0,E02000864,2012
25-29,BLA,22.0,19.0,E02000864,2012
30-34,BLA,26.0,21.0,E02000864,2012
35-39,BLA,14.0,10.0,E02000864,2012
40-44,BLA,15.0,8.0,E02000864,2012
45-49,BLA,9.0,13.0,E02000864,2012
5-9,BLA,22.0,13.0,E02000864,2012
50-54,BLA,13.0,12.0,E02000864,2012
55-59,BLA,8.0,7.0,E02000864,2012
60-64,BLA,3.0,7.0,E02000864,2012
65-69,BLA,3.0,2.0,E02000864,2012
70-74,BLA,3.0,2.0,E02000864,2012
75-79,BLA,1.0,3.0,E02000864,2012
80-84,BLA,,2.0,E02000864,2012
85+,BLA,1.0,1.0,E02000864,2012
0-4,BLC,15.0,18.0,E02000864,2012
10-14,BLC,10.0,9.0,E02000864,2012
15-19,BLC,11.0,14.0,E02000864,2012
20-24,BLC,14.0,13.0,E02000864,2012
25-29,BLC,15.0,12.0,E02000864,2012
30-34,BLC,13.0,18.0,E02000864,2012
35-39,BLC,12.0,8.0,E02000864,2012
40-44,BLC,20.0,18.0,E02000864,2012
45-49,BLC,19.0,20.0,E02000864,2012
5-9,BLC,12.0,5.0,E02000864,2012
50-54,BLC,21.0,18.0,E02000864,2012
55-59,BLC,13.0,8.0,E02000864,2012
60-64,BLC,7.0,5.0,E02000864,2012
65-69,BLC,7.0,8.0,E02000864,2012
70-74,BLC,9.0,14.0,E02000864,2012
75-79,BLC,7.0,7.0,E02000864,2012
80-84,BLC,4.0,1.0,E02000864,2012
85+,BLC,4.0,2.0,E02000864,2012
0-4,CHI,,2.0,E02000864,2012
15-19,CHI,2.0,4.0,E02000864,2012
20-24,CHI,7.0,5.0,E02000864,2012
25-29,CHI,8.0,7.0,E02000864,2012
30-34,CHI,8.0,7.0,E02000864,2012
35-39,CHI,3.0,6.0,E02000864,2012
40-44,CHI,3.0,4.0,E02000864,2012
45-49,CHI,2.0,1.0,E02000864,2012
50-54,CHI,2.0,3.0,E02000864,2012
55-59,CHI,1.0,3.0,E02000864,2012
60-64,CHI,,1.0,E02000864,2012
65-69,CHI,1.0,,E02000864,2012
70-74,CHI,,1.0,E02000864,2012
75-79,CHI,1.0,1.0,E02000864,2012
85+,CHI,,1.0,E02000864,2012
0-4,IND,4.0,2.0,E02000864,2012
10-14,IND,2.0,5.0,E02000864,2012
15-19,IND,2.0,,E02000864,2012
20-24,IND,9.0,2.0,E02000864,2012
25-29,IND,6.0,7.0,E02000864,2012
30-34,IND,12.0,8.0,E02000864,2012
35-39,IND,6.0,5.0,E02000864,2012
40-44,IND,3.0,1.0,E02000864,2012
45-49,IND,5.0,3.0,E02000864,2012
5-9,IND,2.0,3.0,E02000864,2012
50-54,IND,3.0,1.0,E02000864,2012
55-59,IND,1.0,2.0,E02000864,2012
60-64,IND,1.0,2.0,E02000864,2012
65-69,IND,1.0,1.0,E02000864,2012
75-79,IND,1.0,,E02000864,2012
80-84,IND,1.0,,E02000864,2012
0-4,MIX,31.0,33.0,E02000864,2012
10-14,MIX,22.0,23.0,E02000864,2012
15-19,MIX,15.0,34.0,E02000864,2012
20-24,MIX,27.0,19.0,E02000864,2012
25-29,MIX,37.0,19.0,E02000864,2012
30-34,MIX,22.0,11.0,E02000864,2012
35-39,MIX,13.0,11.0,E02000864,2012
40-44,MIX,11.0,7.0,E02000864,2012
45-49,MIX,12.0,7.0,E02000864,2012
5-9,MIX,33.0,21.0,E02000864,2012
50-54,MIX,6.0,3.0,E02000864,2012
55-59,MIX,4.0,1.0,E02000864,2012
60-64,MIX,3.0,1.0,E02000864,2012
65-69,MIX,2.0,1.0,E02000864,2012
70-74,MIX,2.0,1.0,E02000864,2012
80-84,MIX,3.0,,E02000864,2012
85+,MIX,1.0,,E02000864,2012
0-4,OAS,3.0,2.0,E02000864,2012
10-14,OAS,4.0,4.0,E02000864,2012
15-19,OAS,4.0,3.0,E02000864,2012
20-24,OAS,8.0,7.0,E02000864,2012
25-29,OAS,9.0,4.0,E02000864,2012
30-34,OAS,9.0,7.0,E02000864,2012
35-39,OAS,5.0,6.0,E02000864,2012
40-44,OAS,7.0,3.0,E02000864,2012
45-49,OAS,5.0,3.0,E02000864,2012
5-9,OAS,6.0,2.0,E02000864,2012
50-54,OAS,4.0,1.0,E02000864,2012
55-59,OAS,4.0,3.0,E02000864,2012
60-64,OAS,,3.0,E02000864,2012
65-69,OAS,2.0,,E02000864,2012
70-74,OAS,1.0,,E02000864,2012
80-84,OAS,,1.0,E02000864,2012
0-4,OBL,11.0,17.0,E02000864,2012
10-14,OBL,6.0,8.0,E02000864,2012
15-19,OBL,5.0,9.0,E02000864,2012
20-24,OBL,9.0,14.0,E02000864,2012
25-29,OBL,8.0,6.0,E02000864,2012
30-34,OBL,7.0,5.0,E02000864,2012
35-39,OBL,7.0,6.0,E02000864,2012
40-44,OBL,7.0,4.0,E02000864,2012
45-49,OBL,8.0,16.0,E02000864,2012
5-9,OBL,7.0,8.0,E02000864,2012
50-54,OBL,2.0,9.0,E02000864,2012
55-59,OBL,1.0,1.0,E02000864,2012
60-64,OBL,2.0,3.0,E02000864,2012
65-69,OBL,1.0,1.0,E02000864,2012
70-74,OBL,,2.0,E02000864,2012
75-79,OBL,,1.0,E02000864,2012
80-84,OBL,1.0,2.0,E02000864,2012
85+,OBL,1.0,1.0,E02000864,2012
0-4,OTH,7.0,4.0,E02000864,2012
10-14,OTH,8.0,7.0,E02000864,2012
15-19,OTH,5.0,4.0,E02000864,2012
20-24,OTH,6.0,6.0,E02000864,2012
25-29,OTH,8.0,8.0,E02000864,2012
30-34,OTH,7.0,15.0,E02000864,2012
35-39,OTH,7.0,8.0,E02000864,2012
40-44,OTH,6.0,8.0,E02000864,2012
45-49,OTH,5.0,5.0,E02000864,2012
5-9,OTH,4.0,8.0,E02000864,2012
50-54,OTH,3.0,4.0,E02000864,2012
55-59,OTH,1.0,1.0,E02000864,2012
65-69,OTH,2.0,1.0,E02000864,2012
70-74,OTH,2.0,3.0,E02000864,2012
75-79,OTH,,1.0,E02000864,2012
80-84,OTH,,1.0,E02000864,2012
85+,OTH,1.0,,E02000864,2012
0-4,PAK,1.0,1.0,E02000864,2012
15-19,PAK,1.0,,E02000864,2012
20-24,PAK,2.0,1.0,E02000864,2012
25-29,PAK,6.0,3.0,E02000864,2012
30-34,PAK,1.0,6.0,E02000864,2012
35-39,PAK,1.0,2.0,E02000864,2012
40-44,PAK,2.0,1.0,E02000864,2012
45-49,PAK,2.0,,E02000864,2012
5-9,PAK,2.0,2.0,E02000864,2012
50-54,PAK,,2.0,E02000864,2012
65-69,PAK,2.0,,E02000864,2012
75-79,PAK,1.0,,E02000864,2012
85+,PAK,,1.0,E02000864,2012
0-4,WBI,108.0,114.0,E02000864,2012
10-14,WBI,51.0,66.0,E02000864,2012
15-19,WBI,57.0,75.0,E02000864,2012
20-24,WBI,174.0,166.0,E02000864,2012
25-29,WBI,254.0,218.0,E02000864,2012
30-34,WBI,225.0,247.0,E02000864,2012
35-39,WBI,118.0,143.0,E02000864,2012
40-44,WBI,116.0,111.0,E02000864,2012
45-49,WBI,134.0,102.0,E02000864,2012
5-9,WBI,86.0,54.0,E02000864,2012
50-54,WBI,133.0,108.0,E02000864,2012
55-59,WBI,124.0,93.0,E02000864,2012
60-64,WBI,99.0,105.0,E02000864,2012
65-69,WBI,80.0,81.0,E02000864,2012
70-74,WBI,63.0,70.0,E02000864,2012
75-79,WBI,64.0,58.0,E02000864,2012
80-84,WBI,67.0,42.0,E02000864,2012
